"key","parent","text"
124,9,"mortgage calculator"
125,9,"mortgage loan"
126,9,"mortgage loans"
127,9,"mortgage rate"
128,9,"mortgage rates"
129,9,"online banking"
130,9,"personal finance"
131,9,"small business"
132,9,"small business marketing"
133,10,"economic analysis"
134,10,"economic development"
135,10,"economic growth"
136,10,"economic policy"
137,10,"economic system"
138,10,"economics"
139,10,"online community"
140,11,"become an entrepreneur"
141,11,"business entrepreneur"
142,11,"entrepreneur center"
143,11,"entrepreneur jobs"
144,11,"entrepreneur magazine"
145,11,"entrepreneur network"
146,11,"entrepreneur opportunities"
147,11,"entrepreneur organization"
148,12,"asset management"
149,12,"financial advisor"
150,12,"financial analyst"
151,12,"stock market"
152,13,"American real estate"
153,13,"find real estate"
154,13,"real estate agent"
155,13,"real estate broker"
156,13,"real estate for sale"
157,13,"real estate investment"
158,13,"real estate license"
159,13,"real estate listing"
160,13,"real estate market"
161,13,"real estate property"
162,13,"real estate rentals"
163,13,"real estate sale"
164,13,"real estate search"
165,14,"buy stocks and bonds"
166,14,"how to invest"
167,14,"learn stocks and bonds"
168,14,"stock and bond brokers"
169,14,"stock and bond markets"
170,14,"stock and bond prices"
171,14,"stock and bond returns"
172,16,"architect"
173,16,"architectural design"
174,16,"design jobs"
175,16,"design studio"
176,16,"house design"
177,16,"in design"
178,16,"interior design"
179,16,"kitchen design"
180,16,"landscape design"
181,17,"art for sale"
182,17,"art gallery"
183,17,"art online"
184,18,"auto accessories"
185,18,"auto auction"
186,18,"auto dealers"
187,18,"auto insurance"
188,18,"auto loan"
189,18,"auto parts"
190,18,"auto rental"
191,18,"auto repair"
192,18,"auto sales"
193,18,"auto show"
194,18,"autos for sale"
195,18,"classic cars"
196,18,"hybrid cars"
197,18,"new cars"
198,18,"old cars"
199,18,"rent a car"
200,18,"used cars"
201,19,"baby clothing"
202,19,"children's clothing"
203,19,"clothing stores"
204,19,"designer clothing"
205,19,"fashion design"
206,19,"fashion designer"
207,19,"fashion show"
208,19,"girls clothing"
209,19,"maternity clothes"
210,19,"men's clothing"
211,19,"women's clothing"
212,20,"baby food"
213,20,"cake recipes"
214,20,"chicken recipes"
215,20,"Chinese food"
216,20,"diet food"
217,20,"fast food"
218,20,"food"
219,20,"health food"
220,20,"Indian food"
221,20,"Italian food"
222,20,"junk food"
223,20,"Mexican food"
224,20,"organic food"
225,20,"recipes"
226,20,"wine"
227,21,"dental health"
228,21,"diet pills"
229,21,"exercise"
230,21,"exercise equipment"
231,21,"fitness"
232,21,"health"
233,21,"health care"
234,21,"health clubs"
235,21,"health food"
236,21,"health insurance"
237,21,"health magazine"
238,21,"sports"
239,21,"workout"
240,22,"antique books"
241,22,"audio books"
242,22,"baby books"
243,22,"best selling books"
244,22,"book club"
245,22,"book reviews"
246,22,"book search"
247,22,"book stores"
248,22,"children's books"
249,22,"comic books"
250,22,"fiction books"
251,22,"literature"
252,22,"poetry"
253,22,"school books"
254,22,"text books"
255,22,"used books"
256,23,"adventure travel"
257,23,"air travel"
258,23,"budget travel"
259,23,"cheap flights"
260,23,"cheap hotels"
261,23,"cheap travel"
262,23,"extended stay hotels"
263,23,"family vacation"
264,23,"flights"
265,23,"hotels"
266,23,"travel"
267,25,"college baseball"
268,25,"high school baseball"
269,25,"little league"
270,25,"youth baseball"
271,26,"college basketball"
272,26,"high school basketball"
273,26,"NBA"
274,27,"bike gear"
275,27,"bike racing"
276,27,"bike riding"
277,27,"bike shops"
278,28,"football equipment"
279,28,"football field"
280,28,"football games"
281,29,"cheap golf"
282,29,"free golf"
283,29,"golf bags"
284,29,"golf balls"
285,29,"golf carts"
286,29,"golf clubs"
287,29,"golf courses"
288,29,"golf equipment"
289,29,"golf vacations"
290,29,"pro golf"
291,30,"hockey camp"
292,30,"hockey equipment"
293,30,"hockey games"
294,30,"hockey gear"
295,30,"hockey players"
296,30,"ice hockey"
297,31,"America soccer"
298,31,"Brazil soccer"
299,31,"soccer equipment"
300,31,"soccer games"
301,31,"soccer shoes"
302,32,"tennis ball"
303,32,"tennis clothing"
304,32,"tennis equipment"
305,32,"tennis racket"
306,32,"tennis shoes"
307,34,"antivirus software"
308,34,"build a computer"
309,34,"buy computers"
310,34,"cheap computers"
311,34,"computer accessories"
312,34,"computer cases"
313,34,"computer games"
314,34,"graphics"
315,34,"hardware"
316,34,"keyboard"
317,34,"computer memory"
318,34,"monitors"
319,34,"computer software"
320,34,"computer stores"
321,34,"desktop computers"
322,34,"laptop"
323,34,"laptop computer"
324,34,"pocket PC"
325,34,"tablet PC"
326,36,"desktop gadgets"
327,36,"electronic gadgets"
328,36,"electronic toys"
329,36,"hi tech gadgets"
330,36,"kitchen gadgets"
331,36,"latest gadgets"
332,36,"new gadgets"
333,36,"spy gadgets"
334,36,"tech gadgets"
335,37,"broadband Internet"
336,37,"cable Internet"
337,37,"cheap Internet"
338,37,"fast Internet"
339,37,"free Internet"
340,37,"Internet advertising"
341,37,"Internet tv"
342,37,"mobile Internet"
343,37,"satellite Internet"
344,37,"wireless Internet"
345,38,"science books"
346,38,"science center"
347,38,"science experiments"
348,38,"science fair"
349,38,"science fiction"
350,38,"science museum"
351,38,"science news"
